120,120,110,120,115,125,120,120,115,170,120,155,120,180,135,115,120,110,0
122,122,113,122,117,127,122,122,117,172,122,157,122,182,138,117,122,112,1
125,125,115,125,120,130,125,125,120,174,125,159,125,184,140,120,125,115,2
127,127,118,127,122,132,127,127,122,176,127,161,127,186,143,122,127,117,3
130,130,120,129,125,135,129,130,125,178,129,163,129,188,145,125,130,120,4
132,132,123,132,127,137,132,132,127,179,132,165,132,190,148,127,132,122,5
134,135,125,134,129,139,134,135,129,181,134,167,134,192,151,129,135,124,6
137,137,128,136,132,142,136,137,132,183,136,169,136,194,153,132,137,127,7
139,140,130,139,134,144,139,140,134,185,139,171,139,196,156,134,140,129,8
142,142,133,141,137,147,141,142,137,187,141,173,141,198,159,137,142,132,9
144,144,136,143,139,149,143,144,139,189,143,174,143,199,161,139,144,134,10
146,147,138,146,141,151,146,147,141,191,146,176,146,201,164,141,147,136,11
149,149,141,148,144,154,148,149,144,193,148,178,148,203,166,144,149,139,12
151,152,143,150,146,156,150,152,146,195,150,180,150,205,169,146,152,141,13
153,154,146,153,148,158,153,154,148,196,153,182,153,207,172,148,154,143,14
156,157,148,155,151,161,155,157,151,198,155,184,155,209,174,151,157,146,15
158,159,151,157,153,163,157,159,153,200,157,186,157,211,177,153,159,148,16
161,162,153,160,156,166,160,162,156,202,160,188,160,213,179,156,162,151,17
163,164,156,162,158,168,162,164,158,204,162,190,162,215,182,158,164,153,18
165,166,159,164,160,170,164,166,160,206,164,192,164,217,185,160,166,155,19
168,169,161,167,163,173,167,169,163,208,167,194,167,219,187,163,169,158,20
170,171,164,169,165,175,169,171,165,210,169,196,169,221,190,165,171,160,21
173,174,166,171,168,178,171,174,168,212,171,198,171,223,192,168,174,163,22
175,176,169,174,170,180,174,176,170,213,174,200,174,225,195,170,176,165,23
177,179,171,176,172,182,176,179,172,215,176,202,176,227,198,172,179,167,24
180,181,174,178,175,185,178,181,175,217,178,204,178,229,200,175,181,170,25
182,184,176,181,177,187,181,184,177,219,181,206,181,231,203,177,184,172,26
